"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"135","Samarinda","28.12","79","1012","1.73","305","0.15","0","97","10000","light rain","rain","2024-10-31 01:09:10"
"136","Samarinda","31.07","63","1011","1.48","312","0.11","0","84","10000","light rain","rain","2024-10-31 02:09:09"
"137","Samarinda","32.78","55","1010","1.28","332","0.1","0","85","10000","light rain","rain","2024-10-31 03:09:09"
"138","Samarinda","30.47","74","1010","1.72","357","1.26","0","89","9282","moderate rain","rain","2024-10-31 04:09:09"
"139","Samarinda","30.33","72","1009","1.11","17","1.37","0","91","10000","moderate rain","rain","2024-10-31 05:09:10"
"140","Samarinda","30.85","70","1008","0.4","328","1.18","0","96","10000","moderate rain","rain","2024-10-31 06:09:09"
"141","Samarinda","30.22","76","1007","0.08","192","1.47","0","97","10000","moderate rain","rain","2024-10-31 07:09:09"
"142","Samarinda","29.49","81","1007","0.12","339","1.42","0","99","10000","moderate rain","rain","2024-10-31 08:09:09"
"143","Samarinda","27.52","88","1008","0.6","18","1.46","0","93","9880","moderate rain","rain","2024-10-31 09:09:09"
"144","Samarinda","25.37","92","1009","0.69","29","0.56","0","88","10000","light rain","rain","2024-10-31 10:09:09"
"145","Samarinda","24.69","95","1009","0.95","49","0.12","0","91","10000","light rain","rain","2024-10-31 11:09:09"
"146","Samarinda","24.27","96","1010","1.03","35","0.88","0","92","10000","light rain","rain","2024-10-31 12:09:09"
"147","Samarinda","24.36","96","1011","0.89","63","0","0","100","10000","overcast clouds","Clouds","2024-10-31 13:09:09"
"148","Samarinda","24.14","96","1011","0.92","49","0.13","0","100","10000","light rain","rain","2024-10-31 14:09:09"
"149","Samarinda","24.13","96","1010","0.8","17","0.11","0","100","10000","light rain","rain","2024-10-31 15:09:09"
"150","Samarinda","24.04","97","1010","0.55","353","0","0","100","10000","overcast clouds","Clouds","2024-10-31 16:09:09"
"151","Samarinda","23.79","98","1009","0.57","349","0.64","0","100","10000","light rain","rain","2024-10-31 17:09:09"
"152","Samarinda","23.67","98","1009","0.45","320","0.4","0","99","10000","light rain","rain","2024-10-31 18:09:09"
"153","Samarinda","23.48","98","1009","0.47","344","0","0","100","10000","overcast clouds","Clouds","2024-10-31 19:09:09"
"154","Samarinda","23.37","98","1009","0.51","336","0","0","80","10000","broken clouds","Clouds","2024-10-31 20:09:09"
"155","Samarinda","23.3","98","1010","0.27","319","0.13","0","85","10000","light rain","rain","2024-10-31 21:09:09"
"156","Samarinda","23.25","98","1011","0.37","7","0.46","0","89","10000","light rain","rain","2024-10-31 22:09:09"
"157","Samarinda","24.44","96","1011","0.52","333","0","0","91","10000","overcast clouds","Clouds","2024-10-31 23:09:09"
"158","Samarinda","25.56","91","1012","1.02","324","0","0","99","10000","overcast clouds","Clouds","2024-11-01 00:09:09"
"159","Samarinda","27.46","82","1013","1.12","325","0.11","0","100","10000","light rain","rain","2024-11-01 01:09:09"
"160","Samarinda","30.43","66","1012","1.04","341","0","0","100","10000","overcast clouds","Clouds","2024-11-01 02:09:09"
"161","Samarinda","32.01","58","1012","1.28","1","0.23","0","100","10000","light rain","rain","2024-11-01 03:09:09"
"162","Samarinda","31.61","63","1011","1.43","347","0.69","0","100","10000","light rain","rain","2024-11-01 04:09:09"
"163","Samarinda","32.05","62","1009","1.41","333","0.64","0","100","10000","light rain","rain","2024-11-01 05:09:09"
"164","Samarinda","33.08","52","1008","1.94","10","0","0","100","10000","overcast clouds","Clouds","2024-11-01 06:09:09"
"165","Samarinda","31.58","59","1008","1.79","39","0.18","0","100","10000","light rain","rain","2024-11-01 07:09:09"
"166","Samarinda","31.57","60","1007","1.93","53","0","0","100","10000","overcast clouds","Clouds","2024-11-01 08:09:10"
"167","Samarinda","29.6","70","1007","1.72","57","0","0","99","10000","overcast clouds","Clouds","2024-11-01 09:09:10"
"168","Samarinda","26.75","82","1008","1.47","67","0","0","98","10000","overcast clouds","Clouds","2024-11-01 10:09:09"
"169","Samarinda","25.65","86","1009","1.5","66","0","0","98","10000","overcast clouds","Clouds","2024-11-01 11:09:09"
"170","Samarinda","25.22","86","1010","1.44","66","0","0","95","10000","overcast clouds","Clouds","2024-11-01 12:09:09"
"171","Samarinda","25.43","86","1010","1.12","65","0","0","100","10000","overcast clouds","Clouds","2024-11-01 13:09:10"
"172","Samarinda","25.36","88","1011","0.79","80","0.1","0","100","10000","light rain","rain","2024-11-01 14:09:10"
"173","Samarinda","25.03","90","1011","0.4","93","0","0","100","10000","overcast clouds","Clouds","2024-11-01 15:09:09"
"174","Samarinda","24.14","95","1011","0.21","112","0.68","0","100","10000","light rain","rain","2024-11-01 16:09:10"
"175","Samarinda","24.09","96","1010","0.5","31","0","0","100","10000","overcast clouds","Clouds","2024-11-01 17:09:11"
"176","Samarinda","24.06","97","1010","0.17","346","0","0","100","10000","overcast clouds","Clouds","2024-11-01 18:09:10"
"177","Samarinda","23.77","94","1009","0.26","232","0","0","100","10000","overcast clouds","Clouds","2024-11-01 19:09:09"
"178","Samarinda","23.71","94","1010","0.34","291","0","0","100","10000","overcast clouds","Clouds","2024-11-01 20:09:10"
"179","Samarinda","23.61","95","1010","0.55","257","0","0","100","10000","overcast clouds","Clouds","2024-11-01 21:09:10"
"180","Samarinda","23.55","95","1011","0.44","236","0","0","100","10000","overcast clouds","Clouds","2024-11-01 22:09:09"
